name	length	type	location(gene before, gene after)	SGDfeatures	significance
chr16_537201_537218	17	Intergenic	YPL010W_1619,YPL009C_-1404		
chr12_810135_810163	28	Coding	YLR342W		
chr13_394236_394275	39	Coding	YMR061W		
chr12_875374_875470	96	Intergenic	YLR377C_583,YLR378C_264		
chr8_382410_382429	19	Intron	YHR141C		
chr13_72609_72635	26	Coding	YML100W		
chr5_522595_522620	25	Coding	YER168C		
chr13_196067_196170	103	Intergenic	YML041C_312,YML038C_6604		
chr11_379317_379391	74	Intergenic	YKL033W_1107,YKL032C_311		
chr14_566979_566992	13	Intergenic	YNL036W_6504,YNL035C_1525	YNLCTY2-1,	
chr7_741733_741755	22	Intergenic	YGR124W_69,YGR125W_571		
chr6_204911_204984	73	Intergenic	YFR025C_173,YFR026C_751		
chr4_359575_359671	96	Intergenic	YDL055C_2817,YDL054C_152		
chr13_297504_297592	88	Intergenic	YMR013C_767,YMR013W-A_717		
chr9_231103_231133	30	Intergenic	YIL070C_34,YIL069C_416		
chr8_107544_107565	21	Intergenic	YHR001W_183,YHR001W-A_253		
chr4_973910_973927	17	Coding	YDR258C		
chr4_1022821_1022841	20	Intergenic	YDR281C_509,YDR282C_660		
chr15_96953_96967	14	Intergenic	YOL119C_593,YOL117W_582		
chr9_183436_183510	74	Intergenic	YIL096C_312,YIL095W_423		
chr15_235411_235429	18	Coding	YOL051W		
chr11_100461_100572	111	Intergenic	YKL183W_819,YKL182W_99		
chr7_570911_570927	16	Intergenic	YGR038W_9560,YGR040W_4471	YGRCTY2-1,	
chr14_322076_322090	14	Intergenic	YNL167C_720,YNL166C_125		
chr3_142357_142540	183	Intergenic	YCR015C_193,YCR016W_1087		
chr4_1161686_1161714	28	Intergenic	YDR343C_377,YDR345C_1231		
chr4_713097_713114	17	Intergenic	YDR128W_109,YDR129C_218		
chr4_548187_548208	21	Coding	YDR045C		
chr11_156440_156467	27	Coding	YKL157W		
chr10_247333_247355	22	Coding	YJL095W		
chr16_484901_484914	13	Coding	YPL036W		
chr16_695509_695527	18	Intergenic	YPR074C_676,YPR075C_204		
chr8_358479_358571	92	Intergenic	YHR124W_33,YHR126C_1132		
chr16_173477_173510	33	Intron	YPL198W		
chr3_178601_178790	189	Intergenic	YCR031C_389,YCR032W_721		
chr13_626207_626231	24	Intergenic	YMR182W-A_311,YMR183C_688		139153
